"","ticker","mc","ivol","rnd"
"234","AMAG US Equity",609521728,86.7888031,3949.615479
"255","EXEL US Equity",530110496,86.31559753,219.3972931
"38","UNH US Equity",32127733760,58.4518013,0
"44","AMED US Equity",1115911296,62.59120178,0
"209","INVA US Equity",766269504,77.3451004,334.6391296
"92","VRTX US Equity",4571163136,72.11530304,411.1740417
"156","IONS US Equity",1375489792,79.21029663,99.23327637
"1","VPHM US Equity",1024536000,80.68430328,22.86347008
"149","REGN US Equity",1462386816,77.37110138,112.6113129
"3","ALXN US Equity",2820131072,77.82230377,19.44313622
"180","ALKS US Equity",1015099968,77.17960358,41.66050339
"207","ACOR US Equity",773530560,76.21469879,69.39381409
"238","CPHD US Equity",598382080,77.09940338,25.85105133
"49","ANTM US Equity",21445867520,51.91220093,0
"2","UTHR US Equity",1452961408,73.82980347,25.60640717
"18","MYL US Equity",3013497856,72.54930115,6.217175961
"164","AUXL US Equity",1201780480,71.51940155,40.75188065
"259","NKTR US Equity",513999744,67.75260162,178.483139
"22","HOLX US Equity",3348869888,69.625,4.732967854
"7","THOR US Equity",1821824768,69.09660339,16.63428879
"4","ILMN US Equity",3223382528,68.33869934,18.34620094
"23","ALR US Equity",1477300352,67.7365036,5.856882095
"19","ISRG US Equity",4967061504,66.27829742,9.279975891
"15","BSX US Equity",11621793792,64.42980194,12.74014187
"151","ICLL AV Equity",1439080192,61.35639954,204.4104156
"29","PKI US Equity",1642872576,64.834198,5.444283009
"21","1255459D US Equity",4041303552,63.2928009,8.689618111
"16","GSK LN Equity",97269071872,39.40269852,14.17885113
"35","NOBN SW Equity",2494715392,62.51819992,3.990963936
"8","IART US Equity",983343296,61.97769928,20.78573608
"36","COO US Equity",740109056,62.25460052,3.418783903
"10","AMGN US Equity",61187330048,45.26179886,18.81290245
"213","PDLI US Equity",738552000,59.27629852,57.81552887
"137","BMRN US Equity",1776908160,58.46929932,36.03089142
"30","NUVA US Equity",1252334080,56.44480133,9.558395386
"39","PHIA NA Equity",22061029376,51.27930069,5.85727787
"6","CBST US Equity",1376673024,55.56969833,25.46271133
"31","ABT US Equity",82807939072,35.33100128,9.074297905
"69","CELG US Equity",25328654336,49.39250183,27.15957832
"34","BAYN GR Equity",44328382464,44.50830078,8.329138756
"17","LLY US Equity",45785112576,42.48080063,18.29350281
"27","GILD US Equity",46563467264,41.99539948,13.71446037
"40","ENDP US Equity",3015752448,52.99710083,6.997234821
"45","WAT US Equity",3603098112,51.76449966,5.177188873
"20","AZN LN Equity",59301101568,37.24990082,16.60450172
"14","MYGN US Equity",3081070080,50.98509979,23.28445244
"33","A US Equity",5501458432,50.21110153,11.47873116
"12","BIIB US Equity",13896185856,47.28559875,24.59367371
"26","BMY US Equity",46025973760,38.6792984,15.87362003
"37","QGEN US Equity",3465613568,48.80039978,10.44194126
"24","1284849D US Equity",12398879744,46.40990067,16.99144173
"55","SAZ GR Equity",1681346944,48.72200012,2.7763381
"43","MDT US Equity",35134619648,39.17539978,9.131652832
"46","IDXX US Equity",2148924928,47.42739868,7.136797905
"48","VAR US Equity",4353650176,46.69810104,6.596929073
"53","COV US Equity",18249613312,43.05070114,4.003108978
"50","DHR US Equity",18093092864,42.51369858,5.673183918
"32","FRX US Equity",7676156416,44.82989883,15.04523087
"54","ZBH US Equity",9077139456,43.31579971,4.90443182
"57","PRGO US Equity",3022500352,44.25989914,3.794800997
"42","STJ US Equity",11344244736,41.11640167,12.08833599
"25","ATLN SW Equity",6905202688,41.85160065,20.21964645
"59","DGX US Equity",10154005504,35.75370026,0
"51","BAX US Equity",33234968576,35.1692009,7.299270153
"56","SYK US Equity",16129197056,39.09349823,5.601935863
"58","AGN US Equity",2779434496,38.80899811,7.073925018
"41","MRK GR Equity",19574362112,33.95240021,15.80961895
"52","EW US Equity",3058670848,35.30960083,11.56126499
"61","LH US Equity",6956279808,31.91200066,0
"60","FME GR Equity",13842213888,31.93350029,0.744711995
"28","BCR US Equity",8358617600,30.43759918,25.79442215
